loss,train_loss,iter,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
nan,nan,500,1754807534,checkpoint_000000,True,False,1,52e60_00123,2025-08-10_07-32-14,33.317527294158936,33.317527294158936,1759769,ash,134.226.40.133,33.317527294158936,1
nan,nan,1000,1754807567,checkpoint_000001,True,False,2,52e60_00123,2025-08-10_07-32-47,32.4174919128418,65.73501920700073,1759769,ash,134.226.40.133,65.73501920700073,2
nan,nan,1500,1754807599,checkpoint_000002,True,False,3,52e60_00123,2025-08-10_07-33-19,32.638062477111816,98.37308168411255,1759769,ash,134.226.40.133,98.37308168411255,3
nan,nan,2000,1754807632,checkpoint_000003,True,False,4,52e60_00123,2025-08-10_07-33-52,32.4369421005249,130.81002378463745,1759769,ash,134.226.40.133,130.81002378463745,4
nan,nan,2500,1754807664,checkpoint_000004,True,False,5,52e60_00123,2025-08-10_07-34-24,32.65758657455444,163.4676103591919,1759769,ash,134.226.40.133,163.4676103591919,5
nan,nan,3000,1754807697,checkpoint_000005,True,False,6,52e60_00123,2025-08-10_07-34-57,32.41584920883179,195.88345956802368,1759769,ash,134.226.40.133,195.88345956802368,6
nan,nan,3500,1754807729,checkpoint_000006,True,False,7,52e60_00123,2025-08-10_07-35-29,32.46699118614197,228.35045075416565,1759769,ash,134.226.40.133,228.35045075416565,7
nan,nan,4000,1754807762,checkpoint_000007,True,False,8,52e60_00123,2025-08-10_07-36-02,32.70369052886963,261.0541412830353,1759769,ash,134.226.40.133,261.0541412830353,8
nan,nan,4500,1754807795,checkpoint_000008,True,False,9,52e60_00123,2025-08-10_07-36-35,32.68078351020813,293.7349247932434,1759769,ash,134.226.40.133,293.7349247932434,9
nan,nan,5000,1754807827,checkpoint_000009,True,False,10,52e60_00123,2025-08-10_07-37-07,32.47861170768738,326.2135365009308,1759769,ash,134.226.40.133,326.2135365009308,10
nan,nan,5500,1754807860,checkpoint_000010,True,False,11,52e60_00123,2025-08-10_07-37-40,32.684255599975586,358.8977921009064,1759769,ash,134.226.40.133,358.8977921009064,11
nan,nan,6000,1754807892,checkpoint_000011,True,False,12,52e60_00123,2025-08-10_07-38-12,32.66174268722534,391.5595347881317,1759769,ash,134.226.40.133,391.5595347881317,12
nan,nan,6500,1754807925,checkpoint_000012,True,False,13,52e60_00123,2025-08-10_07-38-45,32.43569254875183,423.99522733688354,1759769,ash,134.226.40.133,423.99522733688354,13
nan,nan,7000,1754807957,checkpoint_000013,True,False,14,52e60_00123,2025-08-10_07-39-17,32.41787147521973,456.41309881210327,1759769,ash,134.226.40.133,456.41309881210327,14
nan,nan,7500,1754807987,checkpoint_000014,True,False,15,52e60_00123,2025-08-10_07-39-47,30.139664888381958,486.55276370048523,1759769,ash,134.226.40.133,486.55276370048523,15
nan,nan,8000,1754808019,checkpoint_000015,True,False,16,52e60_00123,2025-08-10_07-40-19,32.09894585609436,518.6517095565796,1759769,ash,134.226.40.133,518.6517095565796,16
nan,nan,8500,1754808051,checkpoint_000016,True,False,17,52e60_00123,2025-08-10_07-40-51,31.186564207077026,549.8382737636566,1759769,ash,134.226.40.133,549.8382737636566,17
nan,nan,9000,1754808081,checkpoint_000017,True,False,18,52e60_00123,2025-08-10_07-41-21,30.641271352767944,580.4795451164246,1759769,ash,134.226.40.133,580.4795451164246,18
nan,nan,9500,1754808114,checkpoint_000018,True,False,19,52e60_00123,2025-08-10_07-41-54,32.2729971408844,612.752542257309,1759769,ash,134.226.40.133,612.752542257309,19
nan,nan,9999,1754808144,checkpoint_000019,True,True,20,52e60_00123,2025-08-10_07-42-24,30.012162685394287,642.7647049427032,1759769,ash,134.226.40.133,642.7647049427032,20
